Merk	Soort	Percentage_Alcohol	Brouwerij	Periode
Antiek	NaN	?%	Brouwerij Villers	?-?
Antigoon	blond	6,7%	De Proefbrouwerij voor The Musketeers	2014-heden
Antwerps Blond	blond	5%	Huisbrouwerij 't Pakhuis	?-heden
Antwerps Bruin	bruin	5,8%	Huisbrouwerij 't Pakhuis	?-heden
Antwerps wit bier	NaN	?%	Brouwerij Villers	?-?
Applebocq	fruitbier	3,1%	Brasserie Du Bocq	?-heden
Arabier	blond	8%	De Dolle Brouwers	?-heden
Archiduc	hoge gisting, bruin	5.2%	Brasserie Caracole	?-?
Archiduc	NaN	6,2%	Brasserie d'Ecaussinnes	NaN
Archiduc Archi-fine	NaN	?%	Brasserie Impérial en Brasserie de Ghlin	?-?
Archiduc Special	NaN	?%	Brasserie Duvieusart	?-?
Arend Blond	blond	6,5%	Brouwerij De Ryck	?-heden
Arend Dubbel	donkerbruin	6,5%	Brouwerij De Ryck	?-heden
Arend Tripel	goudblond	8%	Brouwerij De Ryck	?-heden
Arend Winter	donkeramber	6,3%	Brouwerij De Ryck	1986-heden
Arendonker Bruin	bruin	8,5%	Dorpsbrouwerij Humulus	2011-heden
Arendonker Tripel	goudblond	8%	Dorpsbrouwerij Humulus	2012-heden
Armand’4 Herfst	oude geuze	6%	Geuzestekerij 3 Fonteinen	2011-2015?
Armand’4 Lente	oude geuze	6%	Geuzestekerij 3 Fonteinen	2011-heden
Armand’4 Winter	oude geuze	6%	Geuzestekerij 3 Fonteinen	2012-heden
Armand’4 Zomer	oude geuze	6%	Geuzestekerij 3 Fonteinen	2011-heden
Artevelde	Speciale Belge	5,7%	Brouwerij Huyghe	1985-heden
Artevelde Grand Cru	roodbruin	7,2%	Brouwerij Huyghe	1987-heden
As Export	NaN	?%	Brouwerij Villers	?-?
As Pils	NaN	?%	Brouwerij Villers	?-?
As Ale	NaN	?%	Brouwerij Villers	?-?
Asterie	witbier	4,9%	Brasserie d'Ecaussinnes	NaN
Atomium Premier Grand Cru	amber	8%	Brouwerij Van Steenberge	NaN
Augrenette	blond	4,5%	Brouwerij Augrenoise	?-heden
Augrenoise	troebel blond	6,5%	Brouwerij Augrenoise	2001-heden
Augrenoise Blonde de Noël	troebel blond, kerstbier	10%	Brouwerij Augrenoise	NaN
Augustijn Blond	abdijbier	7,5%	Brouwerij Van Steenberge	1978-heden
Augustijn Donker	abdijbier	7%	Brouwerij Van Steenberge	1978-heden
Augustijn Grand Cru	abdijbier, tripel	9%	Brouwerij Van Steenberge	?-heden
Authentic 621	bruin	7,5%	Authentique Brasserie	NaN
Authentic Ambrée	amber	5%	Authentique Brasserie	NaN
Authentic Blonde	blond	6,5%	Authentique Brasserie	NaN
Authentic Blonde de Noël	kerstbier	9%	Authentique Brasserie	NaN
Authentic Triple	tripel	9,5%	Authentique Brasserie	NaN
L'Autruche Biere des Gilles	blond troebel	7%	Brasserie de Silenrieux	2002-heden
Avec les Bons Vœux	blond	9,5%	Brouwerij Dupont	1980-heden
Averbode	abdijbier	7,5%	Brouwerij Huyghe	2014-heden
Astrum Pale Ale	Pale Ale	6%	Abdijbrouwerij Grimbergen	2021 - heden
Aymon	Ros-blond	8%	Brouwerij Malheur	2000 - heden
