Name	Brewery	Style	ABV	IBU	Location	Brewery_Website	Out_of_Production
Beerbird 01 Tripll 1	Beerbird	Tripel	7.2	N/A	Erpe-Mere	https://www.beerbird.be	N/A
Black Bird	Beerbird	Quadrupel	8.5	N/A	Erpe-Mere	https://www.beerbird.be	N/A
Chicory Sour	Beerbird	Blond	5.4	N/A	Erpe-Mere	https://www.beerbird.be	N/A
Beerbird 12 Quadruple	Beerbird	Quadrupel	9.9	22.0	Erpe-Mere	https://www.beerbird.be	N/A
Pumpkin	Beerbird	Pumpkin / Yam Beer	5.5	N/A	Erpe-Mere	https://www.beerbird.be	N/A
Beerbird 11 Winter X’mas	Beerbird	Winter Ale Donker	8.8	23.0	Erpe-Mere	https://www.beerbird.be	N/A
BeerBird 13 - Newbrew 22.02 - Witloofbier	Beerbird	Blond	6.0	N/A	Erpe-Mere	https://www.beerbird.be	N/A
Beerbird Fraison	Beerbird	Fruitbier	6.5	N/A	Erpe-Mere	https://www.beerbird.be	N/A
Newbrew 21.09 Amber-munt	Beerbird	Saison	7.0	N/A	Erpe-Mere	https://www.beerbird.be	N/A
Tuerelure Blond	Tuerelure	Tripel	8.4	N/A	Rillaar	N/A	N/A
Tuerelure Bruin	Tuerelure	Dubbel	6.5	N/A	Rillaar	N/A	N/A
Porte Bonheur Rood	Porte Bonheur	Fruitbier	4.2	N/A	Vierbeek	https://www.porte-bonheur.be	N/A
Porte Bonheur Tripel	Porte Bonheur	Tripel	9.2	N/A	Vierbeek	https://www.porte-bonheur.be	N/A
Porte Bonheur Wit	Porte Bonheur	Witbier	5.5	27.0	Vierbeek	https://www.porte-bonheur.be	N/A
Tripel 20	VOF Checkouts	Tripel	8.5	24.0	Haacht	https://www.tripel20.be/	N/A
Tops Bier	VOF Checkouts	Blond	6.5	N/A	Haacht	https://www.tripel20.be/	N/A
Geysk	Sambro Brewers	Witbier	5.5	21.0	Wezembeek-Oppem	https://www.sambrobrewers.be/	N/A
API BRUT Millésime 2022	Sambro Brewers	IPA	6.5	N/A	Wezembeek-Oppem	https://www.sambrobrewers.be/	N/A
Quercus	Sambro Brewers	Strong Ale	8.5	25.0	Wezembeek-Oppem	https://www.sambrobrewers.be/	N/A
F5	Sambro Brewers	Pale ale	4.5	13.0	Wezembeek-Oppem	https://www.sambrobrewers.be/	N/A
Sambro IPA	Sambro Brewers	IPA	6.5	N/A	Wezembeek-Oppem	https://www.sambrobrewers.be/	N/A
The Mangold	Van Ver Exotic Belgian Beer	Fruitbier	6.5	14.0	Leuven	https://www.vanverbeer.com	N/A
The Lychee Lies	Van Ver Exotic Belgian Beer	Fruitbier	6.5	N/A	Leuven	https://www.vanverbeer.com	N/A
The Mangold (Black label)	Van Ver Exotic Belgian Beer	Fruitbier	6.5	18.0	Leuven	https://www.vanverbeer.com	N/A
Mist	Van Ver Exotic Belgian Beer	Blond	7.5	N/A	Leuven	https://www.vanverbeer.com	N/A
The Passion	Van Ver Exotic Belgian Beer	Fruitbier	6.5	14.0	Leuven	https://www.vanverbeer.com	N/A
De Kapoen	De Kapoen	Blond	7.7	N/A	Aarschot	https://dekapoen.be/	N/A
Tormales	Dorpsweyden	Tripel	8.1	N/A	Zoutleeuw	http://www.dorpsweyden.be/	N/A
Tervoerke	AD Brewing	Tripel	8.7	N/A	Heverlee	https://tervoerke.com/nl/home-2/	N/A
Rodenbach Vintage 2007 - 2020	Rodenbach	Vlaams roodbruin	7.0	8.0	Roeselare	https://be.rodenbach.be/be/nl/age-gate.html?redirect=%2Fbe%2Fnl.html	N/A
Afzuiper	Tikkeneike	IPA	8.2	N/A	Rijkevorsel 	N/A	N/A
Forsela	Tikkeneike	Tripel	8.5	N/A	Rijkevorsel 	N/A	N/A
Ne Poefer	Tikkeneike	Strong Dark Ale	9.0	N/A	Rijkevorsel 	N/A	N/A
Wipers Times 18 - Tripel	Kazematten	Tripel	8.2	N/A	Ieper	https://www.kazematten.be/	N/A
Wipers Times Dubbel	Kazematten	Dubbel	6.5	N/A	Ieper	https://www.kazematten.be/	N/A
Fagnes Blood Orange	Fagnes	Fruitbier	7.0	22.0	Mariembourg-Couvin	https://www.brasseriedesfagnes.com/	N/A
Vedett Extra Elderflower	Duvel Moortgat	Witbier	3.9	N/A	Breendonk-Puurs	https://www.duvel.com/	N/A
Wiosello	BeerSelect - Gent	Blond	6.5	21.0	Sint-Denijs-Westrem	https://www.beerselect.be/	N/A
Copain and Copine	Klondiker	Blond	7.5	N/A	Meulebeke	https://www.huisbrouwerijklondiker.be	N/A
Gigant Beachy Tripel Shore Thing	Kanaal One Brewery	Tripel	7.7	32.0	De Panne	https://gigantisgreat.com	N/A
Gigant Blonde Kveik IPA Yellow Stone	Kanaal One Brewery	IPA	6.1	37.0	De Panne	https://gigantisgreat.com	N/A
Gigant Orange Amer Bière Apéro Cult	Kanaal One Brewery	Spiced / Herbed Beer	6.4	22.0	De Panne	https://gigantisgreat.com	N/A
Gigant Session Sour IPA Juicy Blue	Kanaal One Brewery	IPA	4.4	28.0	De Panne	https://gigantisgreat.com	N/A
Bar Bippa	Bar Belge Brewery	IPA	6.5	25.0	Zedelgem	https://barbelge.be/nl/home/	N/A
Super 8 Bio Pils	Haacht	Pils	5.2	23.0	Boortmeerbeek	https://haacht.com/nl-BE	N/A
Cristal Lager	Alken-Maes	Pils	5.0	28.0	Alken	https://www.alken-maes.be/	N/A
Cornet Oaked Alcoholfree	De Hoorn	Non-Alcoholic Beer	0.3	21.0	Steenhuffel	https://www.palm.be/nl/dehoorn	N/A
Leffe Brune 0,0%	Leffe - Inbev	nbekend - Unknown - Inconnu	N/A	N/A	Dinant	https://leffe.com/nl	N/A
Waterloo Saison Bio	Waterloo - Brewery Mont-St-Jean	Saison	6.0	30.0	Waterloo	http://waterloo-beer.com	N/A
Heroes Barrel Aged #01 - 2021 - Panamese Rum - Blond	Heroes Amazing Beer	Strong Golden Ale	9.5	30.0	Nieuwpoort	https://heroesamazingbeer.be	N/A
Heroes Super Saison	Heroes Amazing Beer	Saison	6.5	N/A	Nieuwpoort	https://heroesamazingbeer.be	N/A
Tipsy Gold	Gebroeders Hermans Frères	Tripel	7.5	N/A	Brasschaat	https://tipsy.beer/	N/A
Avondgloed	Dok's	Tripel	9.8	30.0	Asse	https://doksbier.be	N/A
Bavo Bruin	Iedereen Bavo	Dubbel	7.2	7.0	Evergem	https://bavo.gent/	N/A
ZeeVonk	Zeevonk	Blond	7.2	N/A	Koksijde	https://zeevonk-bier.be/	N/A
Queue de Charrue Vieille Brune / Oud Bruin	Vanuxeem	Oud Bruin	5.4	10.0	Ploegsteert	https://www.vanuxeem.com/nl/home	N/A
Brewer’s Desire Bruinen Os Lambic Barrel Aged	Bourgogne Des Flandres	Barley Wine	11.5	7.0	Brugge	https://www.bourgognedesflandres.be	N/A
Schaarbeekse Oude Kriek	Eylenbosch NIEUW	Kriek	6.2	N/A	Kobbegem 	https://eylenbosch.beer/	N/A
Oude Geuze Vat 93	Boon	Gueuze	8.0	20.0	Lembeek	https://www.boon.be/	N/A
Oude Gueuze Prematuurke	Eylenbosch NIEUW	Gueuze	5.8	N/A	Kobbegem 	https://eylenbosch.beer/	N/A
Jola Premium Blond	Brand & Soul	Low alcohol beer	3.5	37.0	Maarkedal	https://www.jola.life/	N/A
Jola Premium Tripel	Brand & Soul	Tripel	4.9	36.0	Maarkedal	https://www.jola.life/	N/A
Gordon Xplosion Blue Apple	John Martin NV	Fruitbier	11.0	N/A	Genval  	https://anthonymartin.be/nl/	N/A
La Réserve LAB Belgian IPA	Corniche	IPA	6.5	48.0	Brussel	http://corniche-international.com/	N/A
Excellence du Val-Dieu	Abbaye de Val-Dieu	Strong Golden Ale	12.0	N/A	Aubel	https://www.abbaye-du-val-dieu.be/nl/de-brouwerij/	N/A
Leffe La Légère	Leffe - Inbev	Blond	5.0	17.0	Dinant	https://leffe.com/nl	N/A
Vliet Amber	De Vliet	Amber	5.2	N/A	Geel 	http://www.huisbrouwerijdevliet.be/index.html	N/A
David Strong Blond	Biosenza	Strong Golden Ale	8.5	32.0	Bilzen	https://www.tripel-k.be/	N/A
Tripel K Kriek	Biosenza	Kriek	6.0	18.0	Bilzen	https://www.tripel-k.be/	N/A
Tripel K Donker	Biosenza	Dubbel	7.5	32.0	Bilzen	https://www.tripel-k.be/	N/A
Tripel K Session IPA	Biosenza	IPA	3.5	30.0	Bilzen	https://www.tripel-k.be/	N/A
Patton Le Général	Lupulus	Strong Golden Ale	8.5	N/A	Courtil-Gouvy	https://www.lupulus.be	N/A
Yolo Blond	Yolo Beer	Blond	5.6	27.0	Brussel	https://yolo-beer.com/nl	N/A
Turbeau The Precious Blonde	Turbeau Rock Brewing Company	Blond	7.5	N/A	Brugge	https://www.turbeaunoir.com/	N/A
Turbeau The Great White	Turbeau Rock Brewing Company	Witbier	5.7	N/A	Brugge	https://www.turbeaunoir.com/	N/A
Turbeau The Hopper IPA	Turbeau Rock Brewing Company	IPA	6.5	N/A	Brugge	https://www.turbeaunoir.com/	N/A
Blanche de Namur Hop'n Spice	Du Bocq	Witbier	4.5	N/A	Purnode-Yvoir	http://www.bocq.be	N/A
Blanche de Namur Radler Lime	Du Bocq	Radler	3.4	N/A	Purnode-Yvoir	http://www.bocq.be	N/A
Petrus Red	De Brabandere - voorheen Bavik	Sour	8.5	18.0	Bavikhove	https://www.brouwerijdebrabandere.be/nl	N/A
Waterloo Pilsner Malt	Waterloo - Brewery Mont-St-Jean	Pils	4.5	N/A	Waterloo	http://waterloo-beer.com	N/A
Hyena Howl	The Brew Society	Witbier	4.9	N/A	Heule	https://www.thebrewsociety.be/	N/A
Curcu Classic	La Binchoise	Spiced / Herbed Beer	6.5	N/A	Binche	https://www.brasserielabinchoise.be/en/brasserie-la-binchoise	N/A
Dominicains Bière Vieillie en Fût de Whisky	Brasserie 3F	Quadrupel	9.8	N/A	Frameries	http://brasserie3f.be	N/A
Oude Geuze Barrel Selection Oude Pijpen	Oud Beersel	Gueuze	6.5	N/A	Beersel	https://oudbeersel.com/	N/A
Den Dijkgraaf	Brughuis Brouwers	Amber	8.5	N/A	Muizen	https://www.brughuismuizen.be/	N/A
Gouden Carolus Indulgence 2015 - Whisky Infused	Het Anker	Strong Dark Ale	11.7	15.0	Mechelen	https://www.hetanker.be/nl	N/A
13	Flosch	Quadrupel	13.0	N/A	Sprimont	https://microbrasserieflosch.be/	N/A
Black Bis'cuite 5.9%	Flosch	Donker	5.9	N/A	Sprimont	https://microbrasserieflosch.be/	N/A
Black Bis'cuite 8.5%	Flosch	Strong Dark Ale	8.5	N/A	Sprimont	https://microbrasserieflosch.be/	N/A
Flosch De Noël	Flosch	Donker	8.3	N/A	Sprimont	https://microbrasserieflosch.be/	N/A
Flosch Triple	Flosch	Tripel	8.0	22.0	Sprimont	https://microbrasserieflosch.be/	N/A
Macrale	Flosch	Smoked Beer	7.0	N/A	Sprimont	https://microbrasserieflosch.be/	N/A
Nuit De Bacchus-Cuvée Prestige	Flosch	Grape Ale	11.0	N/A	Sprimont	https://microbrasserieflosch.be/	N/A
Scotch	Flosch	Scotch ale	6.4	18.0	Sprimont	https://microbrasserieflosch.be/	N/A
Semper Blonde	Flosch	Blond	6.7	N/A	Sprimont	https://microbrasserieflosch.be/	N/A
Vlynouch	Flosch	Spiced / Herbed Beer	5.5	N/A	Sprimont	https://microbrasserieflosch.be/	N/A
Fresh Hop Hooray	Dok Brewing Company	Pale Ale	4.5	N/A	Gent	https://www.dokbrewingcompany.be	N/A
2290 Piejer Chocolate Stout	Vorselazarus	Stout	7.5	N/A	Vorselaar	http://www.vorselazarus.be	N/A
2290 Vorselaars Dorpsbier	Vorselazarus	Blond	6.0	N/A	Vorselaar	http://www.vorselazarus.be	N/A
2290²	Vorselazarus	Strong Golden Ale	8.5	N/A	Vorselaar	http://www.vorselazarus.be	N/A
Blambic	Brouwerij B Blankenberge	Sour	7.0	N/A	Blankenberge	http://www.brouwerijb.com/Nederlands/Home.html	N/A
5020 Triple Blonde	Jandrain-Jandrenouille sprl	Tripel	8.4	N/A	Jandrain-Jandrenouille (Orp-Jauche)	http://www.brasseriedejandrainjandrenouille.com/	N/A
Béquin 7700	Brasserie Béquin	IPA	6.3	N/A	Moeskroen	N/A	N/A
Flamingo	Beer 4 Nature	Red Ale	6.5	N/A	Mol	http://www.beer4nature.be/	N/A
