username	preference	disliked
Abio	['Quadrupel', 'Kerstbier blond', 'Tripel', 'Sterke ale donker', 'Blond', 'Donker', 'Dubbel', 'Sterke ale', 'Rood bruin', 'IPA', 'Ale', 'Witbier', 'Amber ale', 'Sterke ale blond', 'Dubbel abdij']	['Dubbel', 'Sterke ale', 'Tripel hop amber', 'Low Alcoholic Beer', 'Non-Alcoholic Beer', 'Witbier', 'Dubbel abdij']
Acariya	['Sterke ale']	[]
Acetobacter	['Quadrupel', 'Tripel', 'Sterke ale', 'Rood bruin', 'Amber ale']	['Pils']
Ackcdent	['Sterke ale']	[]
Acknud	['Quadrupel', 'Tripel', 'Sterke ale', 'Witbier']	[]
Adam 13	['Rood bruin']	[]
Adam77	['Rood bruin']	[]
AdamSkillin	['Donker']	[]
Adenila	['Quadrupel', 'Dubbel', 'Blond', 'Donker', 'Stout', 'Sterke ale', 'IPA', 'Fruitbier krieken', 'Gueuze', 'Ale', 'Scotch', 'Fruitbier frambozen', 'Aperitiefbier']	['IPA']
Admiral	['Amber ale', 'Tripel', 'Donker']	['Sterke ale']
Aegrus	['Sterke ale']	[]
Aeneas	['Quadrupel', 'Rood bruin']	[]
Aesir	['Amber ale', 'Quadrupel']	[]
Agaguk	['Sterke ale']	[]
AgentGobshite	['Amber ale', 'Saison']	[]
AgentSteve	['Fruitbier', 'Tripel', 'Sterke ale', 'Rood bruin', 'IPA', 'Sterke ale blond', 'Dubbel abdij', 'Aperitiefbier']	[]
Aggie80	['Wilde ale']	[]
AirForceHops	['Wilde ale', 'Tripel', 'Sterke ale', 'Fruitbier aardbeien', 'Rood bruin']	[]
AlabastorJones	['Quadrupel', 'Sterke ale', 'IPA', 'Rood bruin']	[]
AlainG	['Tripel']	[]
Albert	['Donker']	[]
AlbertC	['Amber ale']	[]
Alchemist	[]	['Tripel']
AlchemistZ	['Sterke ale blond', 'Sterke ale']	[]
Alchemtron	['Tripel']	[]
Alcoholist	['Amber ale']	[]
Aldolapache	['Sterke ale']	[]
Aldrighetti	['Dubbel', 'Rood bruin']	[]
AleDrinker	['Dubbel', 'Tripel', 'Sterke ale', 'Ale', 'Amber ale']	[]
AleDude	['Quadrupel', 'Rood bruin']	[]
AleWendy	[]	[]
AlephNull3	['Sterke ale']	[]
AlexOnFyre	['Sterke ale']	[]
AllAboutStout	['Amber ale', 'Quadrupel', 'Sterke ale', 'Rood bruin']	['Sterke ale']
Allara	['Tripel', 'Ale', 'Sterke ale', 'Blond']	['Fruitbier']
Alldaydrinker	['Quadrupel', 'Tripel']	[]
Allen	['Kerstbier blond', 'Sterke ale amber', 'Tripel', 'Blond', 'Wilde ale', 'Donker', 'Quadrupel', 'Scotch', 'Sterke ale', 'Rood bruin', 'Amber ale', 'Sterke ale blond', 'Dubbel abdij']	['Fruitbier']
Allseeingeye	['Quadrupel', 'Tripel', 'Sterke ale', 'Witbier', 'Amber ale', 'Sterke ale blond']	[]
Allthatisevil	['Rood bruin']	[]
AlphaOne	['Fruitbier krieken', 'Tripel', 'Sterke ale']	[]
AmEricanbrew	['Sterke ale amber', 'Tripel', 'Sterke ale', 'Rood bruin', 'Sterke ale blond', 'Dubbel abdij']	[]
Amaj80HC	['Sterke ale']	[]
Amator	['Quadrupel']	[]
AmazonMatt	['Amber ale', 'Sterke ale']	[]
Amexis	['Sterke ale']	[]
AndersR	['Quadrupel', 'Tripel', 'Sterke ale', 'Dubbel abdij']	['Tripel']
Andreas99	['Quadrupel']	[]
Andrew196	['Fruitbier', 'Dubbel', 'Tripel', 'Blond', 'Quadrupel', 'Sterke ale', 'Rood bruin', 'Ale', 'Amber ale', 'Dubbel abdij']	['Sterke ale', 'Rood bruin']
AndrewC	['Amber ale', 'Quadrupel', 'Ale']	[]
AndrewGeoff	['Tripel', 'Sterke ale']	[]
AndrewKoransky	['Quadrupel']	[]
AndrewM	['Amber ale', 'Quadrupel', 'Sterke ale', 'Dubbel abdij']	[]
AndyMagnum	['Quadrupel']	[]
AndyReynolds	['Amber ale', 'Tripel', 'Sterke ale', 'Dubbel abdij']	[]
Angeloregon	['Fruitbier', 'Quadrupel', 'Tripel', 'Sterke ale', 'Rood bruin', 'IPA', 'Ale', 'Witbier', 'Scotch', 'Dubbel abdij']	['Fruitbier']
Aniela	['Quadrupel', 'Tripel', 'Sterke ale']	['Sterke ale']
Anker	['Fruitbier krieken', 'Fruitbier', 'Tripel', 'Rood bruin']	['Fruitbier krieken', 'Fruitbier', 'IPA']
Ansset13	['Quadrupel', 'Tripel', 'Sterke ale', 'Donker']	[]
Anton	['Quadrupel']	[]
ApisAles	['Quadrupel', 'Tripel', 'Saison', 'Sterke ale', 'Ale']	[]
Aquilo	['Amber ale', 'Tripel']	[]
Arayaga2	['Tripel', 'Sterke ale', 'Rood bruin', 'Ale', 'Dubbel abdij']	[]
Archibaldo de la Cruz	['Tripel', 'Sterke ale', 'Blond']	[]
Armageddon	['IPA']	[]
Arnoud	['Rood bruin']	[]
AsaNewt	['Sterke ale']	[]
AshtonMcCobb	['Tripel', 'Scotch', 'Donker', 'Saison', 'Sterke ale', 'IPA', 'Rood bruin', 'Amber ale', 'Dubbel abdij']	[]
AskForJenny	['Quadrupel', 'Wilde ale', 'Tripel', 'Sterke ale', 'Rood bruin', 'Witbier']	[]
Atheist_Peace	['Tripel', 'IPA', 'Aperitiefbier']	[]
AtlAggie	['Fruitbier krieken', 'Blond', 'IPA']	[]
Aubrey	['Quadrupel', 'Tripel', 'Wilde ale', 'Sterke ale', 'Rood bruin', 'Ale', 'Amber ale']	['Sterke ale blond', 'Blond', 'IPA']
Augustijn55	['Amber ale', 'Kruidenbier', 'Tripel', 'Witbier']	['Sterke ale blond']
Aurelius	['Quadrupel', 'Dubbel', 'Tripel', 'Blond', 'Sterke ale', 'Rood bruin', 'Ale', 'Witbier', 'Amber ale', 'Dubbel abdij']	['Fruitbier krieken', 'Blond', 'IPA']
AustinMilbarge	['Quadrupel', 'Fruitbier', 'Tripel', 'Donker', 'Sterke ale', 'Ale', 'Amber ale']	['Fruitbier krieken']
AvantAle	['Tripel']	[]
Avatar	['Quadrupel', 'Blond', 'Sterke ale', 'Ale', 'Dubbel abdij']	[]
Avengedpoet	['Sterke ale']	[]
AverageMan	['Quadrupel']	[]
AvidDirtman	['Amber ale', 'Sterke ale amber', 'Sterke ale']	[]
AwesomePossum	['Amber ale']	[]
AxB	['Tripel', 'Sterke ale']	[]
Axargo	['Tripel']	[]
BATLMULLET	['Ale']	[]
BBB63	['Fruitbier', 'Quadrupel', 'Tripel', 'Blond', 'Donker', 'Sterke ale', 'Rood bruin', 'Ale', 'Scotch', 'Aperitiefbier']	[]
BCAR	['Tripel', 'Sterke ale']	[]
BDR	['Quadrupel', 'Fruitbier', 'Tripel', 'Blond', 'Wilde ale', 'Sterke ale', 'Rood bruin', 'IPA', 'Gueuze', 'Amber ale', 'Dubbel abdij']	[]
BEEJE26	['Tripel', 'Sterke ale']	[]
BEERGUY007	['Amber ale', 'Tripel', 'Aperitiefbier']	[]
BIGC	['Quadrupel']	[]
BINGEBOT	['Tripel', 'Sterke ale']	[]
BLAP	['Amber ale', 'Tripel']	[]
BMan1113VR	"['Fruitbier', 'Sterke ale amber', 'Tripel', 'Sterke ale donker', 'Blond', 'Donker', ""Gerstewijn - Barley wine - vin d'orge"", 'Wilde ale', 'Scotch', 'Sterke ale', 'Rood bruin', 'Fruitbier krieken', 'Honingbier', 'Gueuze', 'Amber ale', 'Dubbel abdij']"	['Blond', 'Rood bruin']
BOLTZ7555	['Quadrupel', 'Tripel', 'Sterke ale', 'Rood bruin', 'Kerstbier', 'Ale']	[]
BR007	['Quadrupel']	[]
BREWMUSKCLES	['Sterke ale amber', 'Blond', 'Dubbel', 'Tripel', 'Sterke ale', 'IPA', 'Rood bruin', 'Amber ale']	['Witbier']
BT	['Quadrupel', 'Tripel', 'Sterke ale', 'Ale', 'Dubbel abdij']	[]
BVery	['Quadrupel', 'Tripel', 'Sterke ale', 'Rood bruin', 'IPA', 'Amber ale', 'Aperitiefbier']	['Ale']
BadAprilia1000	['Quadrupel', 'Tripel', 'Sterke ale']	[]
Badger1503	['Amber ale']	[]
Bailz316	['Quadrupel', 'Tripel', 'Donker', 'IPA', 'Amber ale']	[]
Bajahobo	['Amber ale']	[]
BakerStMuse	[]	[]
Bakka	['Tripel']	[]
Balazs	['Fruitbier', 'Tripel', 'Sterke ale', 'IPA', 'Rood bruin', 'Sterke ale blond', 'Dubbel abdij']	['Sterke ale']
BarZigKin	['Amber ale', 'Tripel']	[]
Barnabus	['Blond']	[]
Barnaby	['Sterke ale']	[]
BarossaLuke	['Tripel', 'Sterke ale']	[]
BarrelRoller	['Rood bruin']	[]
Barrelbelly	['Quadrupel', 'Tripel', 'Sterke ale donker', 'Blond', 'Donker', 'Sterke ale', 'Rood bruin']	[]
Barrios	['Quadrupel', 'Fruitbier', 'Tripel', 'Sterke ale', 'Sterke ale blond', 'Dubbel abdij']	[]
