username	preference	disliked
Hermod	['Amber ale', 'Sterke ale', 'Dubbel abdij', 'Donker']	[]
HighGravity	['Tripel', 'Scotch', 'Donker', 'Sterke ale', 'Rood bruin', 'Witbier', 'Amber ale']	['Pils']
HighWine	['Quadrupel', 'Rood bruin', 'Sterke ale', 'Dubbel abdij']	[]
HighlanderOne	['Tripel', 'Sterke ale', 'Witbier']	[]
Hildigöltur	['Speciaal granenbier', 'Amber ale', 'Sterke ale blond', 'Dubbel abdij', 'Lambiek', 'Sterke ale donker', 'Sterke ale', 'Witbier', 'Kerstbier blond', 'Fruitbier', 'Kruidenbier', 'Saison', 'Pils', 'IPA', 'Fruitbier krieken', 'Ale', 'Fruitbier frambozen', 'Quadrupel', 'Sterke ale amber', 'Tripel', 'Blond', 'Dubbel', 'Rood bruin']	['Fruitbier', 'Blond', 'Pils', 'IPA', 'Fruitbier krieken', 'Low Alcoholic Beer', 'Ale']
Hinez57	['Tripel']	[]
Hiroshige	['Sterke ale']	[]
HogTownHarry	['Fruitbier', 'Dubbel', 'Tripel', 'Blond', 'Sterke ale', 'Rood bruin', 'IPA', 'Ale', 'Witbier', 'Amber ale']	['Fruitbier', 'Pils', 'Blond', 'Ale']
Holdwine	['Donker', 'Saison', 'Sterke ale', 'Rood bruin']	[]
HolidayBeerGuy	['Sterke ale']	[]
Hollywoodt	['Witbier']	[]
Holsten	['Sterke ale']	[]
Holy	['Sterke ale']	[]
Homebrewerguy	['Sterke ale blond', 'Tripel']	[]
Homer321	['Quadrupel', 'Sterke ale blond', 'Sterke ale']	[]
HomesickAlien	['Tripel']	[]
Homey	['Amber ale']	[]
HonkeyBra	['Sterke ale', 'Rood bruin', 'Kerstbier', 'Amber ale', 'Dubbel abdij']	[]
HonusWagner	['Quadrupel', 'Tripel', 'Wilde ale', 'Rood bruin', 'Amber ale', 'Dubbel abdij']	[]
Hooker	['Tripel', 'Blond', 'Saison', 'Rood bruin', 'Dubbel abdij']	[]
Hoonerific	['Tripel']	[]
HooperX	[]	['Sterke ale']
HoosBrews	['Wilde ale']	[]
HopBackDoc	['Sterke ale']	['Amber ale']
HopasaurusRex	['Tripel', 'Sterke ale', 'IPA']	[]
Hopdaddy	['Sterke ale']	[]
Hopgeek	['Sterke ale']	[]
Hophead22	['Quadrupel', 'Dubbel']	[]
HopheadHans	['Amber ale', 'Quadrupel', 'Tripel', 'Ale']	[]
Hopistotle420	['Scotch', 'Blond', 'Rood bruin']	['Fruitbier krieken', 'IPA']
Hopper	['Tripel', 'Wilde ale', 'Blond', 'Sterke ale', 'IPA', 'Witbier', 'Amber ale']	['Fruitbier aardbeien']
HoppyBunny	['Dubbel abdij']	[]
HopsOrDie	['Quadrupel', 'IPA', 'Donker']	[]
HopsformyHips	['Quadrupel', 'Sterke ale']	[]
Hoptagon	['Fruitbier', 'Wilde ale']	[]
HoptimusPrime	['Amber ale']	[]
Hoser	['Tripel', 'Sterke ale', 'Ale', 'Witbier', 'Amber ale']	['Blond']
Hoss	['Sterke ale']	[]
Hudspart	['Sterke ale']	[]
Hugerat	['Quadrupel', 'Dubbel', 'Tripel', 'Sterke ale', 'Amber ale', 'Dubbel abdij']	[]
Hugh	['Tripel', 'Blond', 'Donker', 'Sterke ale', 'Gueuze']	['Pils']
HughConway	['Quadrupel', 'Tripel', 'Sterke ale', 'Ale', 'Dubbel abdij']	[]
Huib	['Sterke ale', 'Dubbel abdij']	[]
HumbertHumbert	['Sterke ale']	[]
HumuloneRed	['Fruitbier', 'Tripel', 'Rood bruin', 'IPA', 'Amber ale']	['Fruitbier']
Hunsell	['Quadrupel', 'Dubbel', 'Tripel', 'Sterke ale', 'Dubbel abdij']	[]
Hurracasurf	['Amber ale']	[]
IDunno19	['Amber ale', 'Quadrupel', 'Sterke ale']	[]
IEBAILI	['Tripel', 'Witbier']	[]
IJT	['Rood bruin']	[]
ILduce	['Sterke ale']	[]
ILoveNewBeer	['Quadrupel', 'Tripel', 'Rood bruin']	[]
IMtheOptimator	['Rood bruin', 'IPA', 'Dubbel abdij']	[]
IPAGargoyleGuy	['Tripel', 'Sterke ale', 'Dubbel abdij']	[]
IPAndy	['Amber ale']	[]
IPAsavedMYlife	['Sterke ale']	[]
IPFreely	['Fruitbier', 'Tripel', 'Blond', 'Saison', 'Sterke ale', 'Ale', 'Witbier', 'Scotch', 'Dubbel abdij']	[]
IainOg	['Rood bruin']	[]
IanMcChouffe99	['Tripel', 'Donker']	[]
Ibrew2or3	['Quadrupel', 'Sterke ale', 'Rood bruin', 'Kerstbier', 'Ale', 'Amber ale']	[]
Ida7999	['Quadrupel']	[]
Idiosynkrasie	[]	[]
Idler	['Speciaal granenbier']	[]
IlanMan	['Amber ale', 'Quadrupel', 'Tripel', 'Sterke ale']	[]
Illini08	['Quadrupel']	[]
Illuminatus	['Tripel']	[]
IluvatarMilan	['Tripel hop amber']	[]
Imaena	['Quadrupel', 'Rood bruin']	[]
Imbockinsxtx	['Amber ale']	[]
Immiz182	['Tripel', 'Sterke ale']	[]
Immy	['Fruitbier', 'Quadrupel', 'Tripel', 'Blond', 'Sterke ale', 'Rood bruin', 'Amber ale', 'Dubbel abdij']	['IPA']
Imperial-John	['Quadrupel', 'Sterke ale', 'Aperitiefbier']	[]
Incubus1981	['Amber ale']	[]
IndiaDaleAle	[]	[]
IndianaRed	['Quadrupel', 'Tripel', 'Donker']	['Pils']
Indra	['Quadrupel', 'Dubbel', 'Tripel', 'Donker', 'Saison', 'Sterke ale', 'IPA', 'Witbier', 'Sterke ale blond', 'Dubbel abdij']	[]
Indulgence	['Sterke ale']	[]
Indy	['Sterke ale']	[]
IndySteve	['Witbier']	[]
Ingevara	['Amber ale', 'Rood bruin']	[]
Ingy	['Sterke ale']	[]
Inveigler	['Fruitbier', 'Tripel', 'Sterke ale', 'Amber ale', 'Dubbel abdij']	[]
IrishBoy	['Quadrupel', 'Tripel', 'Blond', 'Wilde ale', 'Sterke ale', 'IPA', 'Rood bruin', 'Ale', 'Scotch', 'Dubbel abdij']	['Fruitbier', 'Tripel', 'Rood bruin']
IslandHaole	['Quadrupel', 'Sterke ale amber', 'Tripel', 'Sterke ale', 'Amber ale', 'Dubbel abdij']	['Fruitbier', 'Sterke ale']
IsoMasa	['Sterke ale']	[]
Itzjerm	['Sterke ale']	[]
IvoR	['Amber ale']	[]
Izio	['Sterke ale']	[]
Izumidai	['Rood bruin']	[]
JAF737300	['Blond', 'Sterke ale', 'Witbier']	[]
JAG55	['Amber ale']	[]
JAXSON	['Quadrupel', 'Kerstbier', 'Blond', 'Sterke ale']	[]
JB175	['Quadrupel', 'Saison', 'Sterke ale', 'Rood bruin', 'Dubbel abdij']	[]
JB84	['Quadrupel', 'Tripel', 'Sterke ale']	['Sterke ale']
JB99	['Dubbel']	[]
JBVatkeens	['Sterke ale']	[]
JBWalters3	['Quadrupel']	[]
JBowz99	['Amber ale']	[]
JCB	['Quadrupel', 'Tripel', 'Sterke ale', 'Fruitbier krieken', 'Gueuze', 'Ale']	['Sterke ale']
JCW	['Quadrupel', 'Tripel', 'Blond', 'Sterke ale', 'Rood bruin']	[]
JCapriotti	['Quadrupel', 'Sterke ale', 'Rood bruin', 'IPA', 'Dubbel abdij']	[]
JCastner	['Amber ale', 'Tripel', 'Dubbel abdij']	[]
JDBaker11058	['Tripel', 'Scotch', 'Sterke ale', 'Rood bruin', 'Amber ale', 'Dubbel abdij']	[]
JDUB	['Tripel', 'Sterke ale']	[]
JFGrind	['Tripel', 'Rood bruin', 'IPA', 'Ale', 'Dubbel abdij']	['Dubbel abdij']
JFURYCAT	['Fruitbier krieken', 'Quadrupel', 'Tripel', 'Sterke ale']	[]
JHunter	['Sterke ale', 'Aperitiefbier']	[]
JJClark	['Amber ale', 'Quadrupel', 'Tripel', 'Sterke ale']	[]
JK	['Fruitbier', 'Kruidenbier', 'Tripel', 'Blond', 'Donker', 'Saison', 'Sterke ale', 'Rood bruin', 'Gueuze', 'Ale', 'Witbier', 'Dubbel abdij', 'Aperitiefbier']	['Blond', 'Witbier']
JK54B	['Fruitbier', 'Sterke ale amber', 'Wilde ale', 'Sterke ale', 'Rood bruin', 'Fruitbier krieken', 'Ale', 'Sterke ale blond', 'Aperitiefbier']	['Kruidenbier', 'Gueuze', 'Dubbel abdij']
JKChesser	[]	['Pils']
JKS	['Sterke ale']	[]
JLCreemers	['Quadrupel']	[]
JLHop	['Amber ale']	[]
JMFG	['Quadrupel', 'Blond', 'Scotch', 'Sterke ale', 'IPA', 'Amber ale', 'Dubbel abdij']	[]
JMerritt	['Quadrupel', 'Sterke ale amber', 'Blond', 'Sterke ale', 'Rood bruin', 'Fruitbier krieken', 'Sterke ale blond', 'Dubbel abdij']	[]
JPDIPSO	['Fruitbier', 'Kruidenbier', 'Tripel', 'Blond', 'Quadrupel', 'Donker', 'Saison', 'Sterke ale', 'Rood bruin', 'Ale', 'Witbier', 'Sterke ale blond', 'Dubbel abdij', 'Aperitiefbier']	['Fruitbier', 'Tripel', 'Blond', 'IPA', 'Rood bruin']
JPMarat	['Tripel']	[]
JRHBrew	[]	[]
JRock72	['Fruitbier krieken', 'Tripel', 'Sterke ale', 'Aperitiefbier']	['Pils']
JStax	['Quadrupel', 'Tripel', 'Sterke ale', 'Witbier']	[]
JWE	['Gueuze']	['Fruitbier']
J_man	['Sterke ale']	[]
JaBier	['Tripel', 'Wilde ale', 'Blond', 'Sterke ale', 'Rood bruin', 'Amber ale']	['Fruitbier']
JaKeAFC	['Amber ale']	[]
JaPe	[]	['Fruitbier krieken']
Jabic	['Dubbel abdij', 'Sterke ale', 'Donker']	[]
Jabswitch	['Amber ale']	[]
JackMehoff	['Tripel']	[]
JackT	['Quadrupel']	[]
JackfromJax	['Amber ale']	[]
Jacob23_5	['Donker']	[]
Jade	['Tripel', 'Sterke ale']	[]
JadoreBlanche	['Tripel', 'Rood bruin']	[]
JaffaHawk23	['Quadrupel']	[]
JagerQueen	['Ale']	['Fruitbier']
Jahills	['Sterke ale']	[]
Jake Barnes	['Quadrupel', 'Tripel', 'Blond', 'Pils', 'Sterke ale', 'Rood bruin', 'Dubbel abdij']	[]
Jaksmart	['Amber ale']	[]
JamesCrosson	[]	['Pils']
JamesD	['Amber ale', 'Tripel', 'Sterke ale']	[]
JamesMulvenon	['Rood bruin']	[]
Jan Primus	['Amber ale', 'Blond', 'Sterke ale']	[]
JanDecoster	['Quadrupel']	[]
JanEric	['Quadrupel', 'Dubbel', 'Tripel', 'Blond', 'Wilde ale', 'Donker', 'Sterke ale', 'Bok', 'Rood bruin', 'Tripel hop amber', 'Ale', 'Amber ale', 'Sterke ale blond', 'Dubbel abdij']	['Blond', 'Donker']
JanLaursen	['Blond', 'Tripel', 'Sterke ale', 'Aperitiefbier']	[]
JanPrimus1982	['Tripel', 'Ale']	['IPA']
JanVH	['Sterke ale']	[]
JanVittrup	['Quadrupel', 'Tripel', 'Donker', 'Sterke ale', 'Dubbel abdij']	[]
Japalo	['Amber ale', 'Rood bruin']	['Fruitbier']
Jarrid	['Tripel', 'Sterke ale']	[]
JasonG	['Quadrupel', 'Tripel', 'Sterke ale', 'Rood bruin']	[]
JavierAldea	['Quadrupel']	[]
JayBaxter	['Quadrupel', 'Tripel', 'Blond', 'Sterke ale', 'Amber ale', 'Sterke ale blond', 'Dubbel abdij']	['Dubbel abdij']
JayNW	['Quadrupel']	[]
Jayb0	['Dubbel', 'Tripel', 'Blond', 'Donker', 'Sterke ale', 'IPA', 'Rood bruin', 'Witbier', 'Amber ale', 'Aperitiefbier']	[]
JazzBeerGuns	['Rood bruin']	[]
Jblauvs	['Quadrupel', 'Wilde ale', 'Tripel', 'Blond', 'Saison', 'Sterke ale', 'Rood bruin', 'IPA']	[]
Jburroughs	['Sterke ale']	[]
JdKrone	['Amber ale', 'Quadrupel', 'Tripel']	[]
JdiStacey99	['Witbier']	[]
Jeanbxl	[]	['Sterke ale']
JediMindTricks	['Fruitbier', 'Sterke ale', 'Witbier']	[]
Jedsbrew	['Amber ale', 'Tripel', 'Sterke ale', 'Dubbel abdij']	[]
JensenTaster	['Lambiek', 'Tripel', 'Blond', 'Donker', 'Sterke ale', 'Rood bruin', 'Sterke ale blond', 'Dubbel abdij', 'Aperitiefbier']	['Fruitbier', 'Gueuze']
Jeppe	['Fruitbier', 'Tripel', 'Blond', 'Belgische ale', 'Donker', 'Saison', 'Sterke ale', 'Rood bruin', 'IPA', 'Witbier', 'Ale', 'Vlaams roodbruin', 'Dubbel abdij']	['Fruitbier', 'Ale', 'Donker']
Jerre	['Kerstbier', 'Speciaal granenbier', 'Bokbier donker', 'Amber ale', 'Sterke ale blond', 'Dubbel abdij', 'Fruitbier passie en mango', 'Donker', 'Amber', 'Sterke ale', 'Witbier', 'Kerstbier blond', 'Fruitbier', 'Pale Ale', 'Kruidenbier', 'Stout', 'Saison', 'Pils', 'Fruitbier krieken', 'Ale', nan, 'Scotch', 'Quadrupel', 'Dubbel', 'Tripel', 'Blond', 'Sterke ale amber', 'Rood bruin']	['Fruitbier', 'Blond', 'Tripel', 'Pils', 'Fruitbier aardbeien', 'Low Alcoholic Beer', 'Amber ale', 'Fruitbier frambozen']
JerseysBeast	[]	['Pils']
JesseM	['Amber ale', 'Quadrupel', 'Blond', 'Sterke ale']	['Pils']
Jessop	['Fruitbier krieken', 'Sterke ale']	[]
JessterCPA	['Amber ale']	[]
Jesterdeal	['Amber ale', 'Tripel']	[]
JesusPooped	['Tripel']	[]
Jiggaman21k	['Amber ale']	[]
JimboFluffy	['Amber ale']	[]
Jine	['Tripel', 'Blond', 'Sterke ale', 'Witbier', 'Amber ale']	['Pils']
Jmacatiag	['Sterke ale']	[]
Jmichael	['Fruitbier', 'Quadrupel', 'Sterke ale amber', 'Tripel', 'Sterke ale']	[]
Joakgust	['Amber ale', 'Tripel', 'Sterke ale', 'IPA']	[]
JoeM500	['Quadrupel', 'Dubbel', 'Tripel', 'Scotch', 'Donker', 'Saison', 'Sterke ale', 'Rood bruin', 'Fruitbier krieken', 'Gueuze', 'Witbier', 'Amber ale']	['Fruitbier']
JoeMcPhee	['Fruitbier', 'Quadrupel', 'Tripel', 'Wilde ale', 'Blond', 'Saison', 'Sterke ale', 'Rood bruin', 'Ale', 'Dubbel abdij']	['Fruitbier', 'Pils']
JoePeesie	['Dubbel abdij']	[]
JoeTheYounger	['Quadrupel', 'Rood bruin']	[]
JoeZasada	['Tripel', 'Sterke ale']	[]
Joe_Pinta	['Sterke ale']	[]
Joeh	['Quadrupel', 'Fruitbier', 'Tripel', 'Sterke ale amber', 'Blond', 'Donker', 'Dubbel', 'Saison', 'Sterke ale', 'Rood bruin', 'Fruitbier krieken', 'Ale', 'Witbier', 'Amber ale', 'Dubbel abdij']	['Fruitbier', 'Gueuze']
JoeinEscazú	['Quadrupel', 'Lambiek', 'Tripel', 'Blond', 'Sterke ale donker', 'Wilde ale', 'Stout', 'Pils', 'Sterke ale', 'Kerstbier', 'Gueuze', 'Ale', 'Witbier', 'Amber ale']	['Saison']
Joen	['IPA']	[]
JohnBarleycorn	[]	['Rood bruin']
JohnC	['Quadrupel', 'Dubbel', 'Tripel', 'Blond', 'Scotch', 'Sterke ale', 'IPA', 'Fruitbier krieken', 'Ale', 'Witbier', 'Amber ale', 'Dubbel abdij']	[]
JohnQPublic	['Amber ale', 'Blond', 'Sterke ale']	[]
JohnRMurdoch	['Fruitbier', 'Tripel', 'Blond', 'Amber ale', 'Dubbel abdij']	[]
JohnnyFlake	['Tripel']	[]
JohnnyJ	['Quadrupel', 'Tripel', 'Sterke ale donker', 'Wilde ale', 'Scotch', 'Saison', 'Sterke ale', 'Rood bruin', 'Amber ale', 'Sterke ale blond', 'Dubbel abdij']	[]
JohnnyMummbles	['Fruitbier', 'Quadrupel', 'Tripel', 'Wilde ale', 'Sterke ale', 'Rood bruin', 'IPA', 'Amber ale']	[]
JohnnyOS	['Amber ale', 'Tripel', 'Sterke ale']	[]
Johnsense	['Sterke ale']	[]
Jokes	['Quadrupel', 'Dubbel', 'Tripel', 'Blond', 'Saison', 'Sterke ale', 'Fruitbier krieken', 'Ale', 'Dubbel abdij']	['Ale', 'Donker']
JonMG	['IPA']	[]
JonMoore	['Quadrupel', 'Dubbel', 'Tripel', 'Blond', 'Stout', 'Sterke ale', 'Rood bruin', 'Ale', 'Witbier', 'Sterke ale blond', 'Dubbel abdij']	[]
JonR888710	['Quadrupel', 'Tripel', 'Sterke ale', 'Rood bruin', 'Amber ale']	['Fruitbier']
Jonathan3584	['Quadrupel', 'Rood bruin']	[]
Jonb5	['Amber ale']	[]
JonnyC22	['Amber ale']	[]
JonnyDr	['Tripel']	[]
Jonte	['Amber ale', 'Sterke ale']	[]
Joppe	['Amber ale']	[]
Jordiam	['Quadrupel']	[]
JorisPPattyn	['Wilde ale', 'Kerstbier', 'Speciaal granenbier', 'Amber ale', 'Sterke ale blond', 'Dubbel abdij', 'Donker', 'Amber', 'Sterke ale', 'Bok', 'Witbier', 'Fruitbier', 'Kruidenbier', 'Pale Ale', 'Stout', 'Saison', 'Pils', 'Donker abdij', 'Tripel hop amber', 'Fruitbier krieken', 'Gueuze', 'Ale', 'Barley wine', 'Vlaams roodbruin', 'Quadrupel', 'Sterke ale amber', 'Tripel', 'Blond', 'Dubbel', 'Rood bruin', 'Low Alcoholic Beer', 'Kriek']	['Fruitbier', 'Tripel', 'Donker', 'Stout', 'Amber', 'Pils', 'Sterke ale', 'Low Alcoholic Beer', 'Gueuze', 'Ale', nan, 'Dark Strong Ale', 'Sour']
JoshuaB	['Quadrupel', 'Blond', 'Donker', 'Sterke ale', 'IPA', 'Amber ale']	[]
Jow	['Amber ale', 'Tripel', 'Sterke ale', 'Rood bruin']	[]
Jownage	['Tripel']	[]
Jsawyer	['Quadrupel', 'Blond', 'Ale']	[]
Jschecter	['Sterke ale']	[]
JuStuka	['Tripel', 'Belgische ale']	[]
Juancho	['Sterke ale']	[]
JudgeDread	['Tripel']	[]
Juelze	['Quadrupel', 'Tripel', 'Rood bruin']	[]
Juergen_F	[]	[]
JugOPunch	['Tripel']	[]
Juhani	['Dubbel abdij']	[]
Jukkabro	['Quadrupel', 'Kruidenbier', 'Tripel', 'Blond', 'Sterke ale donker', 'Donker', 'Donker abdij', 'Sterke ale', 'IPA', 'Rood bruin', 'Witbier', 'Ale', 'Amber ale', 'Sterke ale blond', 'Fruitbier frambozen', 'Dubbel abdij']	['Fruitbier', 'Donker', 'Pils', 'Low Alcoholic Beer', 'Ale', 'Witbier', 'Amber ale']
JulienHuxley	['Quadrupel', 'Dubbel', 'Tripel', 'Sterke ale', 'IPA', 'Rood bruin', 'Gueuze', 'Amber ale']	[]
JustinBathurst	['Tripel']	[]
JustinFromAL	['Quadrupel', 'Tripel', 'Dubbel abdij']	[]
Justinsvt	['Tripel']	[]
Jvittorio4187	['Tripel', 'Dubbel abdij']	[]
Jwasciuk	['Amber ale', 'Quadrupel', 'Tripel']	[]
K-V-F-L	['Amber ale', 'Dubbel', 'Tripel']	[]
KAF	['Tripel', 'IPA']	[]
KAME	['Quadrupel']	['Rood bruin']
KAggie97	['Quadrupel', 'Sterke ale amber', 'Tripel', 'Wilde ale', 'Blond', 'Donker', 'Sterke ale', 'Rood bruin', 'IPA', 'Sterke ale blond', 'Dubbel abdij']	['Low Alcoholic Beer']
KBeer	['Sterke ale']	[]
KCBrown	['Dubbel abdij']	[]
KDorgan12	['Tripel']	[]
KM	['Sterke ale blond', 'Sterke ale']	[]
KUEric	['Amber ale', 'Blond', 'Sterke ale', 'IPA']	[]
KYbrewgal	['Witbier']	[]
KaimanaKero	['Ale']	[]
KaiserKolsch	['Sterke ale']	[]
KajII	['Dubbel abdij']	[]
Kalli	['Fruitbier krieken', 'Quadrupel', 'Rood bruin']	[]
Kands	['Sterke ale']	[]
KapitiCritique	['Amber ale', 'Tripel', 'IPA']	[]
KariCupcake	['Dubbel abdij']	[]
KarmanGhia	['Sterke ale', 'Dubbel abdij']	[]
KarmelietQueen	['Fruitbier']	[]
Kartoffeln	['IPA']	[]
Kasteelfreak	['Quadrupel', 'Tripel', 'Donker', 'Sterke ale', 'Rood bruin', 'Amber ale', 'Dubbel abdij']	[]
Kathy	['Saison']	[]
Kavu	['Sterke ale amber', 'Tripel', 'Sterke ale', 'Rood bruin', 'Witbier']	['Sterke ale']
KawaBomber	[]	['Pils']
Kaya161	['Quadrupel', 'Blond', 'Pils', 'Sterke ale', 'Rood bruin', 'Witbier', 'Dubbel abdij']	[]
Keeper	['Sterke ale amber', 'Sterke ale']	['Tripel']
Keg_Juggler	['Quadrupel']	[]
Keil	['Quadrupel']	[]
Kemarv	[]	[]
Ken951	['Quadrupel']	[]
Kenadian99	['Sterke ale']	[]
Kestral	['Amber ale', 'Quadrupel', 'Witbier']	['Rood bruin']
KevBrew	['Tripel']	[]
Kevbo99	['Tripel', 'Sterke ale']	[]
Kevin	['Blond', 'Tripel', 'IPA', 'Rood bruin', 'Ale', 'Dubbel abdij', 'Aperitiefbier']	[]
Kevster	['Amber ale', 'Blond', 'Ale', 'IPA']	[]
Kiapepito	['Amber ale']	[]
KidA	['Amber ale']	[]
Kieran_H	['Tripel']	[]
KilkennY	['Amber ale']	[]
KimJohansen	['Wilde ale', 'Honingbier', 'Amber ale', 'Sterke ale blond', 'Dubbel abdij', 'Sterke ale donker', 'Donker', 'Amber', 'Sterke ale', 'Witbier', 'Kerstbier blond', 'Kruidenbier', 'Fruitbier', 'Saison', 'Pils', 'Fruitbier krieken', 'Ale', nan, 'Tripel', 'Blond']	['Fruitbier', 'Tripel', 'Blond', 'Donker', 'Stout', 'Pils', 'Rood bruin', 'Fruitbier krieken', 'Low Alcoholic Beer', 'Gueuze']
KimmoS	['Rood bruin', 'Sterke ale', 'Witbier']	[]
KingCecil	['Quadrupel', 'Tripel', 'Blond', 'Donker', 'Sterke ale', 'Rood bruin', 'Sterke ale blond', 'Dubbel abdij']	['Blond', 'IPA']
KingGambrinus	['Tripel']	[]
KingKnuckles	['Tripel']	[]
KingpinIPA	['Quadrupel', 'Sterke ale', 'Rood bruin']	[]
Kingsley	['Quadrupel']	[]
Kinnaj15	['Wilde ale', 'Blond', 'Sterke ale']	['Donker']
Kinz	['Fruitbier', 'Tripel', 'Blond', 'Belgische ale', 'Saison', 'Sterke ale', 'Rood bruin', 'Ale', 'Amber ale', 'Sterke ale blond', 'Dubbel abdij']	[]
Kirill	['Quadrupel', 'Tripel', 'Sterke ale', 'Ale']	[]
KiwiJonno	['Dubbel']	[]
KnutAlbert	['Dubbel', 'Blond', 'Sterke ale donker', 'Tripel', 'Sterke ale', 'Rood bruin', 'Witbier', 'Amber ale', 'Sterke ale blond', 'Aperitiefbier']	['Pils']
KoNrRiI	['Sterke ale']	[]
Kodos	['Amber ale', 'Quadrupel', 'Blond']	[]
Koelschtrinker	['Quadrupel', 'Dubbel', 'Tripel', 'Blond', 'Donker', 'Pils', 'Sterke ale', 'Fruitbier krieken', 'Low Alcoholic Beer', 'Kerstbier', 'Gueuze', 'Ale', 'Kriek', 'Scotch', 'Vlaams roodbruin', 'Dubbel abdij', 'Aperitiefbier']	['Fruitbier krieken', 'Fruitbier', 'Pils']
Koen890	['Quadrupel']	[]
KoenCeulemans	['Amber ale']	[]
KoenRamone	[]	[]
Kollinski	['Sterke ale']	[]
KolonelKlink	['IPA']	[]
KornDogg	['Amber ale', 'Tripel', 'Sterke ale', 'Rood bruin']	[]
Koyo	['Rood bruin']	[]
Kpfeifle	['Quadrupel']	[]
Krasulak	['Tripel']	[]
Krausen	['Sterke ale', 'Donker', 'Ale']	[]
Kriegbaum	['Amber ale', 'Sterke ale blond', 'Blond', 'Rood bruin']	[]
Kristall-König	['Quadrupel', 'Sterke ale amber', 'Tripel', 'Pils', 'Sterke ale', 'Rood bruin', 'Amber ale', 'Dubbel abdij', 'Aperitiefbier']	['Low Alcoholic Beer', 'Speciaal granenbier']
Kronebryg	['Amber ale', 'Quadrupel', 'Dubbel abdij']	[]
Ktwse	['Tripel']	[]
Kunstemaecker	['Sterke ale', 'Rood bruin']	[]
Kuzo	['Tripel', 'Sterke ale']	[]
KyotoLefty	['Quadrupel', 'Tripel', 'Blond', 'Wilde ale', 'Donker', 'Sterke ale', 'IPA', 'Rood bruin', 'Gueuze', 'Ale', 'Witbier', 'Dubbel abdij']	['Sterke ale blond', 'Sterke ale']
Kåstå	['Quadrupel', 'Sterke ale amber', 'Tripel', 'Blond', 'Belgische ale', 'Sterke ale', 'Rood bruin', 'Fruitbier krieken', 'Low Alcoholic Beer', 'Ale', 'Witbier', 'Dubbel abdij']	['Fruitbier', 'Kruidenbier', 'Blond', 'Sterke ale', 'Gueuze', 'Sterke ale blond']
LINKBREW	['Quadrupel', 'Tripel', 'Sterke ale', 'Ale', 'Dubbel abdij']	[]
LIVEFAST	['Gueuze']	[]
LaChad	['Quadrupel', 'Blond', 'Saison', 'Donker abdij', 'Sterke ale', 'Rood bruin', 'Ale', 'Witbier', 'Scotch', 'Dubbel abdij']	['Fruitbier', 'Tripel']
Lacho	['Quadrupel']	[]
LadyCooper	['Sterke ale']	[]
LadySusan	['Quadrupel', 'Sterke ale amber', 'Tripel', 'Donker', 'Sterke ale', 'IPA', 'Scotch']	[]
Lady_Bastet	['Sterke ale']	['Sterke ale']
Laf-o	['Rood bruin']	[]
Lagerboy	['Sterke ale', 'Donker']	['Sterke ale blond']
Lagunitasfan	['Quadrupel', 'Tripel', 'Sterke ale', 'Rood bruin']	[]
Lalli	['Witbier', 'Sterke ale']	[]
Lamahasto	['Tripel']	[]
LanceUppercut	['Quadrupel', 'Tripel', 'IPA', 'Ale', 'Aperitiefbier']	['Fruitbier']
LarsEngen	['Saison']	['Pils']
LarsHansen	['Rood bruin']	[]
LarsHolmer	['Dubbel', 'Tripel']	[]
Laurent_	['Fruitbier', 'Blond']	[]
LeMarsu	['Aperitiefbier']	[]
LeMunche	['Quadrupel']	[]
LePoopie	['Sterke ale']	[]
Leafs93	['Quadrupel', 'Tripel', 'Blond', 'Sterke ale', 'IPA', 'Rood bruin', 'Amber ale']	[]
Leanu	['Sterke ale']	[]
LearninBeer	['Tripel']	[]
LeglessDog	['Tripel']	[]
Leighton	['Tripel', 'Sterke ale donker', 'Saison', 'Sterke ale', 'Rood bruin', 'IPA', 'Gueuze', 'Witbier', 'Ale', 'Amber ale', 'Dubbel abdij']	['Sterke ale']
LennyH	['Quadrupel', 'Tripel', 'Sterke ale', 'Amber ale', 'Dubbel abdij']	[]
LeoR	['Rood bruin']	[]
LeopoldStoch	['Amber ale', 'Quadrupel']	[]
LeopoldT	['Amber ale', 'Quadrupel', 'Sterke ale']	[]
LesStewart	['Quadrupel', 'Tripel']	[]
Libeerian	['Sterke ale']	[]
Liberty	['Bok']	[]
LibrarianGirl	[]	[]
LiebeBier	['Quadrupel', 'Tripel', 'Blond', 'Donker', 'Sterke ale', 'Ale', 'Dubbel abdij']	['Pils']
LieutenantDan	['Quadrupel']	[]
Likeburning	['Sterke ale']	[]
Likerighteous	[]	[]
LilBeerDoctor	['Fruitbier', 'Tripel', 'Fruitbier aardbeien', 'IPA', 'Fruitbier krieken', 'Witbier', 'Amber ale']	[]
LilKem	['Quadrupel', 'Sterke ale', 'IPA', 'Aperitiefbier']	['Sterke ale amber']
LilSassy	['Sterke ale']	[]
Lilith	['Sterke ale']	[]
Linc	['Fruitbier', 'Quadrupel', 'Tripel', 'Blond', 'Scotch', 'Sterke ale', 'Amber ale', 'Dubbel abdij']	[]
Linnet	['Amber ale', 'Quadrupel', 'Tripel', 'Rood bruin']	[]
