beer_name	username	taste_rating
Brugge Blond	skortila	6
Brugge Blond	Christian	7
Brugge Blond	donfardz64	6
Brugge Blond	Yves	7
Brugge Blond	Wim	7
Brugge Blond	charlotte	6
Brugge Blond	faroeviking	5
Brugge Blond	thewolf	5
Brugge Blond	madquacker	6
Brugge Blond	Lunkie	5
Brugge Blond	highlandlad	5
Brugge Blond	fonefan	6
Brugge Blond	Marsiblursi	6
Brugge Blond	DSG	5
Brugge Blond	larsniclas	6
Brugge Blond	oberabcbbsok	4
Brugge Blond	Maria	5
Brugge Blond	Muggus69	7
Brugge Blond	omhper	5
Brugge Blond	KnutAlbert	5
Brugge Blond	Borup	5
Brugge Blond	Cornfield	7
Brugge Blond	ogivlado	6
Brugge Blond	Hansen	8
Brugge Blond	Storm	8
Brugge Blond	Emil	6
Brugge Blond	JorisPPattyn	6
Brugge Blond	ThomasE	6
Brugge Blond	JensenTaster	5
Brugge Blond	hughie	6
Brugs Blond	lebshiff21	7
Brugs Blond	mike1977ok	7
Brugs Blond	Furseth	7
Brugs Blond	ALLOVATE	6
Brugs Blond	Ungstrup	4
Brugs Blond	skortila	7
Brugs Blond	Papsoe	6
Brugs Blond	pivo	5
Brugs Blond	TaktikMTL	5
Brugs Blond	lachesis	5
Brugs Blond	DanielBrown	8
Brugs Blond	bitter	6
Brugs Blond	Nate	6
Brugs Blond	Eyedrinkale	6
Brugs Blond	Linc	7
Brugs Blond	Kåstå	4
Brugs Blond	davidoc	7
Brugs Blond	fiulijn	7
Brugs Blond	Bloemart	7
Brugs Blond	caesar	7
Brugs Blond	Rogier	8
Steenbrugge Wit	fonefan	6
Steenbrugge Wit	bhensonb	6
Steenbrugge Wit	alobar	7
Steenbrugge Wit	bu11zeye	4
Steenbrugge Wit	PolishHammer	6
Steenbrugge Wit	sayravai	5
Steenbrugge Wit	PJClarke	6
Steenbrugge Wit	oldrtybastrd	4
Steenbrugge Wit	cellar	6
Steenbrugge Wit	SHIG	6
Steenbrugge Wit	BoBoChamp	5
Steenbrugge Wit	Wim	7
Steenbrugge Wit	TBone	5
Steenbrugge Wit	Yves	5
Steenbrugge Wit	bierkoning	6
Steenbrugge Wit	oh6gdx	4
Steenbrugge Wit	Jerre	6
Steenbrugge Wit	altonbrownd	7
Steenbrugge Wit	heavy	2
Steenbrugge Wit	Marko	2
Steenbrugge Wit	williamstome	6
Steenbrugge Wit	Shaney	5
Steenbrugge Wit	JK	4
Steenbrugge Wit	marcot	6
Steenbrugge Wit	Benzai	7
Steenbrugge Wit	nick76	6
