Name	Brewery	Style	ABV	IBU	Location	Brewery_Website	Out_of_Production
Creativ - Stout IPA	Scassenes	Stout	5.0	30.0	Ecaussinnes d'Enghien	https://www.brasseriescassenes.be/	Available
Delice d'Hiver	Scassenes	Strong Golden Ale	8.5	N/A	Ecaussinnes d'Enghien	https://www.brasseriescassenes.be/	No longer in production
Game of Trails	L and G Brewers	Tripel	7.5	150.0	Pepinster	http://titslabiere.be	
L'Escaille	Scassenes	Amber	6.0	N/A	Ecaussinnes d'Enghien	https://www.brasseriescassenes.be/	
La Luperia	Scassenes	Blond	9.0	N/A	Ecaussinnes d'Enghien	https://www.brasseriescassenes.be/	Available
La Saumoise	Scassenes	Donker	10.0	N/A	Ecaussinnes d'Enghien	https://www.brasseriescassenes.be/	
Ultra de Noël	Scassenes	Strong Dark Ale	8.5	N/A	Ecaussinnes d'Enghien	https://www.brasseriescassenes.be/	No longer in production
Silos and Summits	Fantome	Saison	7.5	N/A	Soy	http://www.fantome.be	Available
Negroni	Fantome	Saison	8.0	N/A	Soy	http://www.fantome.be	No longer in production
Fantôsma Patagonia	Fantome	Saison	6.4	N/A	Soy	http://www.fantome.be	Available
Le Pöl de Öl	Fantome	Saison	7.5	N/A	Soy	http://www.fantome.be	Available
Rock the Farmhouse	Fantome	IPA	9.3	N/A	Soy	http://www.fantome.be	Available
Straight West Ghostin	Fantome	Saison	7.5	N/A	Soy	http://www.fantome.be	Available
D’Or	Fantome	Saison	7.0	77.0	Soy	http://www.fantome.be	No longer in production
30th Anniversary	Fantome	Saison	7.1	N/A	Soy	http://www.fantome.be	No longer in production
Amèr iGhost	Fantome	Saison	7.5	N/A	Soy	http://www.fantome.be	Available
Fantôme aux Pommes	Fantome	Saison	6.5	N/A	Soy	http://www.fantome.be	
Blanche Green Edition	Fantome	Witbier	4.0	N/A	Soy	http://www.fantome.be	
Boo! Dark Version	Fantome	Saison	8.0	N/A	Soy	http://www.fantome.be	No longer in production
Dorée de Noel	Fantome	Saison	9.0	N/A	Soy	http://www.fantome.be	Available
Double Mango	Fantome	Saison	7.5	62.0	Soy	http://www.fantome.be	Available
Esprit Valdotèn	Fantome	Saison	8.0	N/A	Soy	http://www.fantome.be	Available
Fantome été Summer Light IPA	Fantome	IPA	7.5	N/A	Soy	http://www.fantome.be	Available
Extra Sour - Cherry	Fantome	Sour	7.5	N/A	Soy	http://www.fantome.be	No longer in production
Funny Blue	Fantome	Witbier	5.0	N/A	Soy	http://www.fantome.be	No longer in production
Joung Blond Jeune	Fantome	Blond	6.0	N/A	Soy	http://www.fantome.be	Available
l Africaine	Fantome	Blond	8.0	70.0	Soy	http://www.fantome.be	Available
La Dalmatienne Special Brew BIPA Styled	Fantome	Blond	6.0	N/A	Soy	http://www.fantome.be	Available
Light Spiritus Spring Project	Fantome	Blond	6.0	N/A	Soy	http://www.fantome.be	Available
Mayor Unusual's Meeow!	Fantome	Saison	8.0	N/A	Soy	http://www.fantome.be	Available
Nuit Noire (De Garde)	Fantome	Donker	16.0	N/A	Soy	http://www.fantome.be	Available
Nuit Noire (Rhum Barrel)	Fantome	Donker	16.0	N/A	Soy	http://www.fantome.be	
Nuit Noire (Calvados Barrel)	Fantome	Donker	16.0	N/A	Soy	http://www.fantome.be	
Nuit Noire (Vermouth Barrel)	Fantome	Donker	16.0	N/A	Soy	http://www.fantome.be	
Nuit Noire (Laphroaig)	Fantome	Donker	16.0	N/A	Soy	http://www.fantome.be	Available
Pissenlit Sour	Fantome	Sour	8.0	N/A	Soy	http://www.fantome.be	
Pom' Rose	Fantome	Witbier	6.0	10.0	Soy	http://www.fantome.be	No longer in production
Red Ghost - La Blanc-Cure	Fantome	Amber	8.0	N/A	Soy	http://www.fantome.be	
Red Spiritus Automn’ Project	Fantome	Saison	6.0	N/A	Soy	http://www.fantome.be	Available
Refreshing Summer Spiritus Project	Fantome	Saison	6.0	N/A	Soy	http://www.fantome.be	Available
Saison - Ekuanot and Mosaic	Fantome	Saison	7.3	N/A	Soy	http://www.fantome.be	Available
Saison - Simcoe Unic Brewing	Fantome	Saison	7.5	N/A	Soy	http://www.fantome.be	Available
Saison d'Erezée	Fantome	Saison	6.2	N/A	Soy	http://www.fantome.be	No longer in production
Strange Ghost - Dark Triple Version	Fantome	Saison	7.5	N/A	Soy	http://www.fantome.be	Available
Im Green	Fantome	Blond	4.3	N/A	Soy	http://www.fantome.be	Available
